項番,単語,意味
119,attempt,試み，試行
120,attend,に通う，に出席する
121,attire,服装
122,attribute,に帰する
123,audience,聴衆，観客
124,August,8月
125,aunt,おば
126,authentic,本物の
127,authority,権威
128,autumn,秋
129,available,利用できる
130,aviation,航空，航空機産業
131,avoid,を避ける，を回避する
132,awake,目が覚める
133,aware,気づいている，知っている
134,away,はなれて、去って
135,awesome,すばらしい
136,awkward,ぎこちない，不器用な
137,baby,赤ん坊
138,back,戻って、返して
139,bad,悪い
140,bag,かばん
141,bake,焼く
142,ban,を禁止する
143,barber,散髪屋
144,barely,かろうじて，やっと
145,bark,吠える/木の皮
146,barn,納屋
147,barrier,障壁
148,baseball,野球
149,batch,ひとまとめ
150,bath,入浴
151,battery,電池
152,be,である、になる
153,beach,浜、海辺
154,bean,豆
155,bear,クマ
156,beautiful,美しい
157,beauty,美しさ、美
158,because,だから、なので
159,become,になる
160,bed,ベッド
161,beef,牛肉
162,beer,ビール
163,before,の前に
164,began,始めた
165,begin,を始める
166,beginner,初心者
167,beginning,最初
168,behave,振る舞う
169,behavior,ふるまい
170,behavioral,行動上の，行動の
171,behind,の後ろに
172,believe,信じる
173,belong,のものである
174,belongings,持ち物
175,below,下に，下記の
176,benevolent,慈悲深い，親切な
177,beside,の側に
178,besides,そのうえ，さらに
179,best,最も良い
180,bet,賭ける
181,betray,裏切る
182,better,より良い
183,between,と～の間で
184,beyond,をこえたところに
185,bias,偏見，先入観
186,bicycle,自転車
187,big,大きい
188,bike,自転車
189,bill,請求書
190,billion,10億
191,biography．,伝記
192,biological,生物学上の
193,bird,鳥
194,birthday,誕生日
195,bit,少し
196,black,黒い
197,blame,を非難する，糾弾する
198,bleak,吹きさらしの，荒涼とした
199,blind,目の見えない
200,block,を妨げる
201,blood,血
202,blow,吹く
203,blue,青い
204,body,身体
205,boil,ゆでる，煮る
206,bomb,爆弾
207,book,本
208,bookstore,本屋
209,border,国境
210,bored,退屈した
211,born,生まれる
212,borrow,を借りる
213,both,両方
214,bother,面倒
215,bottom,底，底辺
216,bought,買った（過去形）
217,bout,試合，競技
218,bowl,鉢
219,box,箱
220,boy,少年
221,brain,頭脳
222,branch,枝
223,brave,勇敢な
224,bread,パン
225,break,壊れる，破る
226,breakfast,朝食
227,breed,を飼育する，繁殖する
228,bribery,賄賂の授受，贈収賄
229,bridge,橋
230,brief,短い，短時間の
231,bright,明るい
232,bring,持って来る
233,brother,兄弟
234,brown,茶色
235,brush,をみがく
236,build,を建てる
237,building,建物
238,built,を建てた
239,bulletin,速報，告示
240,burden,負担，重荷
241,bureau,事務局，たんす
242,burn,を燃やす
243,business,商売
244,busy,忙しい
245,but,しかし、けれども
246,buy,を買う
247,by,【手段・方法・原因】によって
248,cake,ケーキ
249,call,に電話をかける
250,calligraphy,書道
251,calm,落ちついた
252,came,来た（過去形）
253,can,【能力・可能】することができる
254,cancer,がん
255,candle,ろうそく
256,cannot,できない
257,cap,帽子
258,capital,首都
259,captivity,監禁，囚禁
260,capture,を捕まえる
261,car,自動車
262,care,世話
263,career,職業
264,careful,注意深い
265,carefully,注意深く
266,carpenter,大工
267,carpet,じゅうたん
268,carry,を運ぶ
269,case,場合
270,cat,猫
271,catalyst,触媒，刺激物
272,catch,を捕まえる
273,cause,原因，の原因となる
274,cavity,空洞，虫歯
275,central,中心の
276,century,世紀
277,certain,確かな
278,certainly,承知しました
279,chain,くさり
280,chair,いす
281,change,変わる
282,charge,を充電する
283,charm,魅力
284,cheap,安い
285,check,を調べる
286,checkup,検診
287,chemical,化学物質
288,chicken,鶏肉
289,child,子供
290,childhood,子供のころ
291,children,子供たち
292,China,中国
293,Chinese,中国語
294,choose,を選ぶ
295,chronicle,年代記
296,church,教会
297,circle,円
298,circumvent,出し抜く，回避する
299,citizen,市民
300,city,市、都会、都会
301,clarity,明快さ
302,class,授業
303,classmate,同級生
304,classroom,教室
305,clay,粘土
306,clean,きれいな、清潔な
307,clearly,はっきりと
308,clerk,店員
309,clever,利口な
310,climate,気候
311,climb,を登る
312,close,閉じる
313,closely,密接に， 綿密に
314,clot,固まり，凝固塊
315,cloth,布
316,clothes,服
317,cloud,雲
318,cloudy,曇った
319,clue,手がかり，糸口
320,coal,石炭
321,coast,海岸，沿岸地域
322,coin,硬貨
323,cold,冷たい、寒い
324,collect,を集める
325,college,大学
326,colony,植民地
327,colorful,色彩に富んだ
328,colossal,巨大な，途方もなく大きい
329,combat,戦闘
330,come,来る
331,comedy,喜劇
332,comfort,快適さ／慰める
333,commerce,商業，商売
334,commissioned,委託された
335,commit,専念，ゆだねる
336,common,共通の
337,communal,共同の，共有の
338,communicate,連絡する
339,commuter,通勤者
340,company,会社
341,comparison,比較
342,compensation,補償，賠償
343,compete,競争する
344,competition,競争
345,competitive,競争力のある，競争による
346,complement,補足物
347,complete,完成する，完了する
348,completely,完全に，全く
349,complex,複雑な，複合の
350,compliant,従順な，応じる
351,compliment,褒め言葉
352,component,成分，部品
353,compose,構成する
354,comprehend,理解する，把握する
355,comprise,含む，構成する
356,conceal,隠す，秘密にする
357,conception,概念，考え
358,concrete,具体的な
359,condition,状況
360,conference,会議
361,conflict,対立，争い
362,confuse,を混乱させる，区別がつかない
363,connect,を結びつける
364,conscience,良心，道徳心
365,consent,同意する
366,considerably,かなり
367,consist,成り立つ
368,consistent,一貫した，矛盾のない
369,consistently,一貫して，常に
370,consolidate,統合する，合併する
371,conspicuous,目立った，顕著な
372,consumer,消費者
373,contact,接触
374,contamination,汚染，汚染物質
375,contemporary,現在の，現代の
376,content,中身
377,continent,大陸
378,continuation,継続，持続
379,continue,を続ける
380,contractor,請負業者，契約者
381,control,を管理する
382,controversy,論争，議論
383,convenience,便利
384,convenient,便利な
385,convent,修道院，僧院
386,conversion,変換
387,convince,を納得させる
388,cook,料理する
389,cool,かっこいい
390,corner,かど
391,could,できた
392,counter,に対抗する
393,counterfeit,偽造する，偽造品を作る
394,country,国
395,countryside,田舎
396,couple,夫婦
397,courage,勇気
398,course,進路
399,cousin,いとこ
400,cover,覆う
401,cow,ウシ
402,crane,鶴
403,crazy,気の狂った
404,create,を創造する
405,creative,創造力のある
406,credibility,信頼性，信用
407,crisp,新鮮な，さっぱりした
408,critic,批評家，評論家
409,criticism,批判
410,cross,を横切る，渡る
411,crowd,群衆
412,cry,泣く
413,cultivate,耕作する
414,cultural,文化の
415,culture,文化
416,cup,カップ
417,cure,治療する
418,curious,好奇心の強い
419,current,現在の，現行の
420,custodian,管理人
421,custom,習慣
422,customer,顧客
423,cut,切る
424,cute,かわいい
425,cynical,皮肉な，冷笑的な
426,daily,日常の
427,dam,ダム
428,damage,に損害を与える
429,dangerous,危険な
430,date,日、日付
431,daughter,娘
432,day,日、１日
433,dead,死んだ
434,dear,親愛なる
435,death,死
436,debate,討論
437,debt,借金，負債
438,decay,腐る，朽ちる
439,December,12月
440,decide,を決める
441,decision,決定
442,decor,装飾
443,decrease,減少する
444,deep,深い
445,definitely,もちろん，確かに
446,deliberately,故意に，慎重に
447,delicious,おいしい
448,delight,喜び，歓喜
449,delivery,配達
450,dentistry,歯科
451,deny,を否定する
452,depart,出発する
453,departure,出発
454,depend,頼る
455,derive,を引き出す
456,desert,砂漠
457,design,を設計する
458,designation,指定，選定
459,desire,願望／を強く望む
460,desk,机
461,destitute,貧困の，困窮した
462,destroy,を破壊する
463,detailed,詳細の
464,deterioration,悪化
465,detour,迂回する
466,devastation,荒廃，壊滅
467,develop,を発達させる
468,development,開発
469,device,装置
470,devise,考え出す，工夫する
471,devoted,献身的な
472,diabetes,糖尿病，高血糖症
473,dialect,方言
474,diary,日記
475,dictionary,辞書
476,die,死ぬ
477,difference,ちがい
478,different,色々な、違った
479,difficult,難しい
480,dignity,威厳，尊厳
481,dilemma,板挟み，窮地
482,dinner,夕食
483,dinosaur,恐竜
484,dioxide,二酸化物
485,diplomatic,外交の，外交上の
486,directly,直接に
487,disabled,体の不自由な
488,disagree,意見が合わない
489,disappear,姿を消す、消滅する
490,disappearance,失踪，消滅
491,disappointment,失望，期待外れ
492,disaster,災害
493,discord,不一致，不和
494,discourage,をがっかりさせる
495,discover,発見する
496,discrimination,差別
497,discuss,話し合う
498,discussion,討論
499,disease,病気
500,dish,皿、料理
501,dislike,嫌う
502,dissent,異議を唱える，反対する
503,distance,距離
504,distribution,分布，配分
505,diversity,多様性
506,do,をする、行う
507,doctor,医者
508,doctrine,教義，信条
509,documentary,事実を記録した
510,dog,イヌ
511,doll,人形
512,domestic,国内の
513,donate,を寄付する
514,door,戸
515,dormitory,寮
516,dosage,投与量，服用量
517,dot,点
518,doubt,疑い，疑問
519,down,下に
520,dozen,12の
521,drainage,排水，排水路
522,drama,劇
523,draw,描く、引く
524,drawback,欠点，短所
525,dread,ひどく怖がる，恐れる
526,dream,夢
527,drink,を飲む
528,drive,運転する
529,driver,運転手
530,drop,を落とす
531,drove,運転した
532,drum,太鼓、ドラム
533,dry,乾く
534,due,期限の，納期の
535,during,～の間
536,duty,職務、義務
537,each,それぞれの、各自の
538,ear,耳
539,early,早く
540,earn,をかせぐ
541,Earth,地球
542,earthquake,地震
543,ease,容易さ，気楽さ
544,easily,簡単に
545,east,東
546,easy,簡単な
547,eat,を食べる、食事をする
548,economics,経済学
549,ecosystem,生態系
550,effective,効果的な
551,effectively,効果的に
552,effort,努力
553,egg,卵
554,eight,8
555,eighteen,18
556,eighth,8番目
557,eighty,80
558,elbow,ひじ
559,elderly,年配の
560,election,選挙
561,electric,電気の
562,electrical,電気の，電気を用いた
563,electricity,電力
564,electronic,電子の
565,elephant,ゾウ
566,elevate,上げる，昇進させる
567,eleven,11
568,eleventh,11番目
569,else,その他に
570,emergency,緊急事態
571,empathy,共感，感情移入
572,emphasis,強調，力説
573,employ,雇う
574,employee,従業員
575,encourage,を勇気づける
576,end,最後
577,endangered,絶滅の危機にさらされている
578,ending,終わり，結末
579,endorse,支持する
580,enemy,敵
581,engage,従事させる，引き込む
582,engineer,開発者
583,English,英語
584,enjoy,を楽しむ
585,enough,十分な、必要なだけの
586,enrich,豊かにする
587,enroll,入学する
588,enter,入る
589,entertainment,娯楽
590,enthusiasm,情熱，熱狂
591,enthusiastic,熱狂的な
592,entire,全体の，全部の
593,entirely,全体的に，全く
594,entrance,入口
595,envelope,封筒
596,environment,環境，状況
597,enzyme,酵素，生化学的触媒
598,epic,大作，壮大な作品
599,epoch,時代，歴史の節目
600,equity,公平，普通株
601,era,時代
602,eraser,消しゴム
603,especially,特に、とりわけ
604,essay,論文，小説
605,establish,を設立する
606,establishment,設立
607,estate,財産
608,evacuation,避難
609,even,でさえ
610,evening,夕方
611,event,行事
612,eventually,最後には
613,ever,今まで，かつて
614,every,毎、ごとに
615,everyone,みんな
616,everything,何でも
617,everywhere,どこでも
618,evoke,呼び起こす，引き起こす
619,evolution,進化，発展
620,evolutionary,進化的な，進化論の
621,exactly,正確に
622,exam,試験
623,example,例、実例
624,except,を除いて
625,exception,例外
626,exceptionally,例外的に
627,excessive,過度の，極端な
628,exchange,交換
629,excited,わくわくした
630,exciting,興奮させる
631,exclusively,排他的に，限定して
632,excuse,を許す
633,exercise,練習する
634,exhaust,疲れ果てさせる，消耗させる
635,exhibition,展示
636,expedite,促進する
637,expensive,高価な，費用のかかる
638,experience,を経験する
639,experiment,実験，試み
640,explain,を説明する
641,exploit,偉業，業績
642,explosion,爆発
643,expose,明らかにする，公開する
644,express,表現する，を言い表す
645,expulsion,排除，除名
646,extend,を広げる
647,extent,程度，大きさ
648,extinction,絶滅
649,extinguisher,消火器
650,eye,目、視力
651,face,顔
652,facility,施設、設備
653,fact,事実，現実
654,factor,要因
655,factory,工場
656,fail,失敗する
657,failure,失敗
658,fairly,かなり，公平に
659,faith,信頼，信用
660,`false,誤った
661,fall,転ぶ、転倒する
662,familiar,見慣れた，よく知られた
663,family,家族
664,famous,有名な
665,fantastic,すばらしい
666,far,遠くに
667,farm,農場
668,farmer,農場主
669,fascinate,魅了する
670,fast,速い
671,fat,太った
672,father,父
673,fault,欠点，短所
674,faulty,欠点のある
675,favor,親切な行為
676,favorable,好ましい
677,favorite,好きな、お気に入りの
678,fear,を恐れる，恐がる／恐れ
679,feather,羽
680,feature,特色
681,February,2月
682,feedback,意見
683,feel,と感じる
684,felt,感じた
685,fence,塀
686,fertile,肥沃な，多産の
687,fertilizer,肥料
688,festival,祭り
689,fever,熱
690,few,少しの
691,fiber,繊維
692,fiction,小説
693,fifteen,15
694,fifth,5番目
695,fifty,50
696,fight,たたかう
697,fill,いっぱいにする
698,film,映画
699,final,最後の
700,finally,ついに，やっと
701,find,を発見する
702,fine,元気な
703,finger,手の指
704,finish,を終える
705,fire,火
706,first,1番め、最初
707,fish,魚
708,five,5
709,fix,固定する
710,flat,平らな
711,flight,飛行
712,floor,階
713,flour,小麦粉
714,flow,流れる
715,flower,花
716,fly,飛ぶ
717,focus,集中する
718,fold,を折る，折りたたむ
719,follow,に従う
720,follower,支持者
721,fond,好きで
722,food,食べ物
723,fool,馬鹿
724,foolish,愚かな
725,foot,足
726,for,として
727,forcible,強制的な，強い
728,foreign,外国の
729,foremost,主要な，最も重要な
730,forest,森、森林
731,forget,を忘れる
732,formally,正式に
733,former,前の，以前の
734,formidable,恐ろしい，手ごわい
735,forth,前へ
736,fortunately,幸運にも
737,forty,40
738,forward,前方へ
739,fossil,化石
740,found,を見つけた
741,founder,創設者
742,four,4
743,fourteen,14
744,fourteenth,14番目
745,fourth,4番目
746,fox,キツネ
747,frame,骨組み，枠組み
748,free,ひまな
749,freedom,自由
750,freely,自由に
751,fresh,新鮮な
752,Friday,金曜日
753,friend,友達
754,friendly,好意的な
755,frighten,怖がらせる
756,frog,カエル
757,from,【時間】から
758,front,前、正面
759,fruit,果物
760,full,完全な、完ぺきな、最適な
761,fully,十分に，完全に
762,fun,楽しい
763,functional,実用的な
764,funny,おかしな
765,future,未来
766,garage,車庫
767,garbage,ゴミ
768,gas,ガソリン
769,gather,を集める
770,gave,与えた
771,gaze,凝視する，見つめる
772,general,一般的な
773,gentle,やさしい
774,gently,やさしく
775,geology,地質学，岩石の科学
776,get,を得る
777,gift,贈り物
778,girl,少女
779,give,を与える、渡す
780,given,与えた
781,glacier,氷河
782,glad,うれしい
783,glance,ひとめ見る
784,global,地球の
785,globe,地球
786,glowing,白熱した、真っ赤に熟した
787,go,行く
788,god,神
789,good,良い
790,got,得た
791,govern,統治する
792,government,政府
793,grade,等級
794,graduate,卒業する
795,graduation,卒業
796,grand,壮大な
797,grandfather,祖父
798,grandmother,祖母
799,grape,ブドウ
800,graph,図表
801,grass,草
802,great,すばらしい
803,green,緑
804,grew,育った
805,ground,地面
806,grow,成長する
807,growth,増加
808,guess,を推測する
809,guest,客
810,guide,案内人
811,guilt,罪悪感，有罪
812,gun,鉄砲
813,gym,体育館
814,habit,習慣
815,had,持った
816,hair,髪
817,half,半分、2分の1
818,hall,会館、ホール
819,hand,手
820,handicraft,手芸
821,handle,を処理する
822,handout,配布物
823,happen,起こる
824,happily,幸せに，楽しく
825,happiness,幸福
826,happy,幸せな、うれしい、楽しい
827,hard,熱心に、一生懸命に
828,hardly,ほとんどない
829,harmonize,調和させる
830,harsh,厳しい，過酷な
831,hat,帽子
832,have,を持っている
833,he,彼は
834,head,頭
835,headache,頭痛
836,health,健康
837,healthy,健康な
838,hear,聞く
839,heard,聞いた
840,heart,心
841,heat,熱
842,heaven,天国
843,heavy,重い
844,hedge,垣根，防止策
845,held,開催した
846,help,を手伝う、助ける
847,helpful,役に立つ
848,here,ここに
849,hereby,ここに
850,heritage,遺産
851,hers,彼女のもの
852,herself,彼女自身
853,hierarchical,階層的な，階級制の
854,hill,丘
855,him,彼を
856,himself,彼自身を
857,his,彼の
858,history,歴史
859,hit,打つ
860,hobby,趣味
861,hold,をつかむ
862,hole,穴
863,holiday,休日、休暇
864,holy,神聖な
865,homework,宿題
866,honest,正直な
867,honey,蜂蜜
868,hope,を望む
869,hopeful,希望を持っている
870,horizon,地平線，水平線
871,horror,恐怖
872,horse,馬
873,hospital,病院
874,host,主人
875,hot,暑い
876,hour,1時間
877,house,家、住宅
878,how,どんな
879,however,しかしながら、けれども
880,huge,巨大な，莫大な
881,human,人間、人
882,humanity,人間，人間性
883,hundred,百
884,hunger,飢え，空腹
885,hungry,空腹の、飢えた
886,hunt,を狩る
887,hunting,狩り
888,hurry,急ぐ
889,hurt,を傷つける
890,husband,夫
891,hygiene,衛生
892,hypothesis,仮説，推測
893,I,私は[が]
894,ice,氷
895,idea,考え
896,idealization,理想化，理想の実現
897,identical,全く同じ
898,if,もし～ならば
899,ill,病気の
900,illegal,違法な
901,illiterate,読み書きのできない
902,illustrate,説明する，図解する
903,image,画像，印象
904,imagine,想像する
905,immediate,即座の
906,immediately,即座に，すぐに
907,impact,影響，衝撃
908,implant,植え付ける，移植する
909,import,を輸入する
910,important,重要な、大切な
911,improve,を改善する
912,in,中に
913,inadequate,不十分な，不適切な
914,inattentive,不注意な
915,inaugurate,就任させる
916,include,を含む
917,inconsistent,一貫しない，矛盾した
918,increase,を増やす，増大させる
919,incur,招く，負う
920,indeed,実に
921,independence,独立
922,independent,独立した，自立した
923,industry,産業，工業
924,infectious,伝染性の，感染する
925,influence,に影響を及ぼす
926,information,情報
927,inherent,本来の，固有の
928,inheritance,継承，相続
929,initial,当初の，初期の
930,initiate,始める，開始する
931,injure,を傷つける
932,inner,内部の，内側の
933,inquiry,問い合わせ，質問
934,insect,昆虫
935,inside,内側の
936,instead,そのかわりに
937,instruction,指示
938,instructive,有益な，教育的な
939,integrate,統合する，一体化する
940,intelligence,賢さ，聡明さ
941,interdependent,相互に依存している
942,interest,興味
943,interesting,興味深い
944,interfere,干渉する，阻害する
945,international,国際的な
946,interrupt,の邪魔をする，を中断させる
947,intimate,親密な
948,into,～の中へ
949,introduce,を紹介する
950,intuitive,直感的な
951,invent,を発明する
952,invention,発明
953,inventor,発明家
954,investigate,を調査する
955,invite,を招待する
956,involve,を含む，を巻き込む
957,involvement,関与，関わり合い
958,iron,鉄
959,ironically,皮肉なことに，逆説的に
960,is,です、ます
961,island,島
962,issue,問題，（雑誌などの）号
963,it,それを
964,item,項目，品目
965,its,それの、その
966,ivory,象牙，象牙質の
967,January,1月
968,Japan,日本
969,Japanese,日本の
970,jewel,宝石
971,job,仕事
972,join,に参加する
973,joy,喜び
974,judge,審判員
975,July,7月
976,jump,跳ぶ
977,June,6月
978,junior,年下の
979,just,ちょうど、まさに
980,justify,を正当化する
981,keep,し続ける
982,kept,し続けた
983,key,鍵
984,kill,を殺す
985,kind,親切な
986,kindliness,親切さ
987,king,王様
988,kit,道具一式
989,knee,ひざ
990,knew,知っていた
991,knife,ナイフ
992,know,を知っている
993,knowledge,知識
994,lack,不足，欠乏
995,lake,湖
996,lamp,明かり
997,land,土地
998,language,言葉
999,lap,ひざ
1000,large,大きい、広い
1001,largely,主として，大部分は
1002,last,この前の
1003,later,～の後で
1004,latest,最新の
1005,latter,後者の，後半の
1006,laugh,笑う
1007,law,法律
1008,lawyer,弁護士
1009,layer,層
1010,lazy,怠け者の
1011,lead,を導く
1012,leaf,葉
1013,leap,跳ぶ，はねる
1014,learn,学ぶ
1015,leave,去る
1016,left,左
1017,leg,脚
1018,legacy,遺産
1019,legal,法律の
1020,lend,貸す
1021,less,もっと少なく
1022,lesson,授業
1023,let,～に～をさせる
1024,let's,～しよう
1025,letter,手紙
1026,library,図書館
1027,lie,嘘
1028,life,生活
1029,light,光
1030,like,を好む
1031,likewise,同様に
1032,limited,限られた
1033,line,列、並び
1034,link,接続
1035,lip,唇
1036,list,表
1037,listen,聞く
1038,literacy,読み書き
1039,literally,文字通りに
1040,little,小さい，かわいい
1041,live,住む
1042,local,地方の、地元の
1043,log,丸太
1044,lonely,さびしい
1045,long,長い
1046,look,見る
1047,loose,ゆるんだ
1048,lord,領主，支配者
1049,lose,負ける
1050,loss,失うこと，喪失
1051,lost,負けた
1052,loud,声の大きい
1053,lovely,美しい
1054,low,低い
1055,loyalty,忠誠，誠実
1056,luck,運、幸運
1057,lucky,幸運な
1058,luggage,手荷物
1059,lullaby,子守歌
1060,lunch,昼食
1061,machine,機械
1062,made,作った（過去形）
1063,magazine,雑誌
1064,magnitude,大きさ，規模
1065,make,を作る
1066,malfunction,故障
1067,mammal,哺乳動物
1068,man,男性、男の人
1069,many,たくさんの
1070,map,地図
1071,March,3月
1072,mark,印
1073,market,市場
1074,marry,結婚する
1075,mass,塊，大部分
1076,match,試合
1077,material,材料，原料
1078,math,数学
1079,matter,問題，困ったこと
1080,May,5月
1081,maybe,たぶん、もしかすると
1082,mayor,市長
1083,me,私に
1084,mean,を意味する
1085,meaning,意味
1086,meant,意味した
1087,measure,をはかる
1088,meat,肉
1089,medicine,薬
1090,medieval,中世の，時代遅れの
1091,medium,中ほどの
1092,meet,と会う
1093,memory,記憶
1094,mental,精神の，心の
1095,merchant,商人
1096,mere,単なる，わずかな
1097,metabolism,代謝，生体の化学反応
1098,metal,金属
1099,microbial,微生物の，細菌の
1100,middle,真ん中
1101,midnight,真夜中
1102,military,軍隊の
1103,million,100万
1104,mind,精神
1105,mine,私のもの
1106,mineral,鉱物
1107,mini,小型の
1108,minimal,最小限の，最低限の
1109,mining,採鉱，採掘
1110,ministry,省庁
1111,minute,分
1112,mirror,鏡
1113,misfortune,不幸，災厄
1114,miss,さびしく思う
1115,mist,霧
1116,mistake,誤り
1117,misunderstand,を誤解する
1118,mix,混ぜる
1119,moderately,適度に，適切に
1120,modern,現代的な
1121,moment,瞬間
1122,Monday,月曜日
1123,monetary,金融の，金銭の
1124,money,お金
1125,monkey,サル
1126,month,月、１か月
1127,monthly,月に1回の
1128,monument,記念碑
1129,moon,月
1130,more,よりもっと
1131,moreover,さらに
1132,morning,朝
1133,most,最も
1134,mostly,主に，ほとんど
1135,mother,母
1136,mountain,山
1137,mouse,ネズミ、ハツカネズミ
1138,mouth,口
1139,move,を動かす
1140,movement,運動
1141,movie,映画
1142,much,[動詞を修飾して]おおいに、たいへん
1143,multinational,多国籍の，複数の国籍からなる
1144,multitude,大勢，多く
1145,museum,博物館、美術館
1146,music,音楽
1147,musical,音楽の
1148,musician,音楽家
1149,Muslim,イスラム教徒
1150,must,しなければならない
1151,my,私の
1152,myself,私自身
1153,mystery,神秘的な／神秘
1154,myth,神話
1155,name,名前
1156,narrative,物語，話
1157,nation,国家
1158,national,国の、国家の
1159,natural,自然の
1160,nature,自然
1161,near,の近くで
1162,neat,きちんとした
1163,necessary,必要な
1164,neck,首
1165,need,を必要とする
1166,negative,否定的な，良くない
1167,negotiate,交渉する
1168,negotiation,交渉，話し合い
1169,neighbor,近所の人
1170,neither,～も～もない
1171,nest,巣
1172,net,網
1173,never,今までに一度もしない
1174,new,新しい
1175,newspaper,新聞
1176,nice,良い
1177,night,夜
1178,nine,9
1179,nineteen,19
1180,ninety,90
1181,ninth,9番目
1182,nitrogen,窒素，化学元素
1183,nobility,尊さ，高貴さ
1184,noise,騒音
1185,noisy,騒がしい
1186,nonrefundable,返金不可の
1187,noon,正午
1188,north,北
1189,nose,鼻
1190,not,でない
1191,note,紙幣
1192,notebook,ノート
1193,nothing,何もない
1194,nourishment,栄養，滋養
1195,November,11月
1196,nuclear,核の，原子力の
1197,number,数、数字
1198,nurse,看護婦
1199,obey,従う，服従する
1200,objection,異議
1201,obvious,明白な
1202,occupation,職業
1203,occur,発生する
1204,ocean,大洋，海
1205,October,10月
1206,odd,変な，奇数の
1207,of,～の
1208,office,事務所
1209,often,よく
1210,oil,油
1211,old,古い
1212,on,【場所】の上に
1213,once,かつて
1214,one,1
1215,only,～だけ
1216,open,を開ける
1217,operation,手術
1218,opinion,意見，考え
1219,opposite,反対の，向こう側の
1220,opposition,反対，対立
1221,or,そうしなければ
1222,oral,口頭の，口の
1223,order,注文する
1224,ordinary,ふつうの
1225,organ,臓器，器官
1226,organic,無農薬の，有機の
1227,organism,生命体，生物
1228,orient,東洋
1229,originally,はじめは
1230,other,他の
1231,our,私たちの
1232,ours,私たちのもの
1233,out,外に
1234,outgoing,社交的な
1235,outline,概要，輪郭
1236,outside,外で
1237,over,向こうへ
1238,overbook,過剰予約する
1239,overhead,間接の
1240,overnight,一晩中，夜通しで
1241,overseas,海外の
1242,own,自分自身の
1243,p．m．,午後
1244,paid,支払い済みの
1245,pain,痛み
1246,painful,苦痛な，痛い
1247,paint,描く
1248,painter,画家
1249,painting,絵をかくこと
1250,pair,一組
1251,pal,友だち
1252,palace,宮殿
1253,pale,青ざめた
1254,palm,手のひら
1255,paper,紙
1256,paramount,最高の，最重要の
1257,parent,親
1258,park,公園
1259,part,部分
1260,particular,特定の，個々の
1261,pass,を通り過ぎる
1262,past,過去の
1263,patch,当て布，布切れ
1264,patriotism,愛国心，忠誠心
1265,pay,払う
1266,paycheck．,給料
1267,peace,平和
1268,peaceful,平和な
1269,pediatric,小児科の
1270,pencil,鉛筆
1271,peninsula,半島
1272,people,人々
1273,perceive,知覚する
1274,perfect,完全な
1275,perform,演じる
1276,perhaps,多分
1277,perimeter,周囲
1278,period,期間、時間
1279,perish,滅びる，死ぬ
1280,permanent,永久の
1281,person,人
